Post,Hate,,
"מנהיג אימבציל לעם דביל ולכל מי שבחר בו.
",1,,
הם לעולם לא יסירו את החסינות. פחדנים בני פחדנים,1,,
"יאללה בן גביר תן בראש כנס באימ אימא של הזבל הזה.
",1,,
"אם בן גביר ""מחבל"" כי הוא מעריץ של אדם שנוי במחלוקת, אז טיבי וכל הסיעות הערביות הם רבי מרצחים!!",1,,
הפחדן הזה לא יסיר את חסינותו,1,,
מטריד נשים פך,1,,
מסתתר אחרי תקשורת מוטה פדופיל מנייק,1,,
פח אשפה זה,1,,
לא רוצה לחשוב,1,,
מאיר כהן הכשלון של לפיד.הוא ניצל את מעמדו בדימונה וניצל את העובדות.אדם מגעיל ודוחה.,1,,
למה מחביאים אותו,1,,
שמעתי טס למצרים עם אנשים שלא היה צריך לקחת לפי החוק למה?אלוקים יודע,1,,
מושחת,1,,
מאיר לפחות תתנצל בפני מי שפגעת והרסת משפחות אין לך לב ? מוסר ? איך המשפחה שלך מגיבה ביום הזה שגם ניפגעה מהמעשים שלך תתביש לך,1,,
תתבייש,1,,
וזה האיש שלפיד מגן עליו הבנתם !!,1,,
איפה הוא מתחבה,1,,
מושחת זבל אתה לא גבר אתה אנס סמרטוט,1,,
אנס עים אננס יהיר לפיד,1,,
חולה,1,,
בושה איפוא אנחנו נמצאים שילך לכלא שם נותנים טיפול נכון,1,,
חולה עלוב,1,,
מעניין מה אומרת על זה אישתו או אשת יאיר לפיד,1,,
חולה מין,1,,
חרמן חולה נשים ושקרן,1,,
בושה אפלו אילנה דיין לא עזרה אני מתביישת באדם כזה שהוא נציג בכנסת וחברות הכנסת אתומות ולא עושות דבר לומר לךלךלךלךהביתה,1,,
סוטה מין מנייק,1,,
קצב נכנס לשבע שנים בכלא ...,1,,
צריך להזמין אותו לתת הרצאה ביום האשה ועוד ישלמו לו על ההופעה הכל יכול ליהיות,1,,
הוא לא צריך יום האישה כדי להטריד,1,,
מיץ של זבל וכל מפלגת המושחתים,1,,
"מה הוא עושה ביום האישה , מחפש נשים",1,,
איפה הצדק לאותם נשים אין צדק ולא נעליים לשמולאנים מותר הכל מהכול כמו שאמר ביבי פקה פקה לא עשה כלום למען אזרחי המדינה רק הכסף והכסא חשוב לו ממש כך,1,,
איש עלוב כזה רק במפלגה עלובה של יאיר לפיד יש לו מקום,1,,
עלוב חולה נפש ומיןלפתוח את התיק ההטרדותאיש מסכן וחף נשלח לכלאבזמן שהעבריין מסתובב חופשיכי יש את לפיד הנוכל וסגלוביץשסגרו לו את התיק בסוף תישפט,1,,
בן גביר הגבר,0,,
בן גביר אתה ענק ליד הגמדים האנטישמים,0,,
הם לעולם לא יסירו את החסינות. פחדנים בני פחדנים,1,,
יאללה בן גביר תן בראש כנס באימ אימא של הזבל הזה.,1,,
טפי עליו אלוף בצהל יום אחרי שהם פושטים את המדים מתנהגים כמו מחבלים נגד המדינה,1,,
יש מצב יאיר גולן שתול של החיזבללה?????,1,,
"יאיר גולן אויי אזה איש עלוב אתה אויי לנו שאתה הית סגן הרמט""כל אחד שפיו פולט רק שטויות ,שום דבר חכם לא עשית עד כה בכנסת ישראל ,מטנף על עם ישראל מטנף על אוכלוסיות שלמות שלא מאמינות במה שאתה סוגד לו ,ומה הכי מרגיז ?שאתה מקבל שכר יותר מראש הממשלה האדיר שלנו בנימין נתניהו שקורע את עצמו לא נח דקה אתה מרוויח יותר ממנו בשכר החודשי גם פנסיה צבאית חודשית וגם משכורת של חבר כנסת יש בזוי והזוי מזה 🤮לפחות עם היית גבר הית תורם את השכר בכנסת לנכים או למוחלשים בישראל כמו שעושה ניר ברקת מהליכוד שמקבל שקל אחד בלבד ( כי חייב להרוויח משהו על העבודה בכנסת )אז לך לאלף עזאזל ולך כפרה על איתמר בן גביר , בעזרת ה' יתברך הוא יכנס לכנסת ויטפל בכם עוכרי ישראל 🤮🤮🤮🤮🤮🤮",1,,
אין לו חסינותהוא מתחת לאחוז החסימהצופה התהליכים מנירנברג,0,,
"על תתייחס לחלאת אדם הזה ,הוא לא בליגה שלך",1,,
יאיר גולן אלוף בצהל מישהו מבין איך זה קרה,0,,
קומבינות זה השמאל השרלטן,0,,
יאיר גולן כניראה שרק תביעות עוזרות ללשונך הארוכה שלא בוחלת במילים אתה מצטיין בהסטה וקופץ מאולפן לאולפן בזחיחות!!!!אתה בושה,1,,
"אם בן גביר ""מחבל"" כי הוא מעריץ של אדם שנוי במחלוקת, אז טיבי וכל הסיעות הערביות הם רבי מרצחים!!",1,,
מעניין .שאלה הם החניכים והמאולפים של מערכת החונטה השמאלנית .ברגע שהם פותחים את הפה באזרחות . ליכאורה הם מנותקים מהיהדות ומההצהרות שלהם מהצבא. אז מה שהיה בצבא זה היתחזות ליכאורה.,0,,
יאיר גולן אין לו ביצים להסיר את החסינות יש לו פה זונ. גרמניה,1,,
יאיר גולן דוחה,0,,
הפחדן הזה לא יסיר את חסינותו,1,,
עולם הפוך האדם שדעושה הכל נגד ישראל ונגד הצבא.קורה לאוהב הארץ והעם מחבל.אין גבול וזו הסכנה שאין גבול,1,,
יאיר גולן אתה לא שווה את הנעליים של בן גביר,1,,
"במהלך פעילותו הפוליטית הוגשו נגדו, חמישים ושלושה כתבי אישום, שמתוכם הורשע בשבע עבירות פליליות, בהן התפרעות, הפרעה לשוטר, הסתה לגזענות ותמיכה בארגון טרור.כל הכבוד ביבי...שמיר יצא מאולם המליאה שכהנא נאםביבי מנסה בכח הכח להכניס אותו למליאה",0,,
את ראש הממשלה אפשר לתבוע ולהגיש כתב אישום ולחבר כנסת אי אפשר לתבוע?,0,,
איזה קוקסינל הגולן הזה,1,,
חוצפן. מזהה התהליכים אלק,1,,
"בן גביר, ישנם דברים שלא ניתן להעלימם .. עברך. ציטוט מויקפדיה .. "".. במהלך פעילותו הפוליטית הוגשו נגדו, לדבריו, חמישים ושלושה כתבי אישום, שמתוכם הורשע בשבע עבירות פליליות, בהן התפרעות, הפרעה לשוטר, הסתה לגזענות ותמיכה בארגון טרור."" העבר הזה הוא שלך והרווחת אותו ב""יושרה"", לכאורה למה אתה מתחסד כעת?",0,,
בביהמש בן גביר יאכל את מזהה התהליכים בלי מלח.,0,,
יאיר לפיד חושף היום שגדעון ובנט יסכימו לשבת בממשלה שלו בתמיכת הרשימה המשותפת.מוקדם יותר הודיע איימן עודה שיתמוך ביאיר לפיד כראש הממשלה הבא. לכולם ברור שלגדעון ובנט אין איך להקים ממשלה בלי להצטרף ללפיד ולתת לו להיות ראש ממשלה. מצביעי הליכוד חייבים לצאת להצביע מחל כי רק הצבעה לליכוד תמנע מיאיר לפיד להיות ראש ממשלה ותבטיח הקמת ממשלת ימין יציבה שתפעל למען כל אזרחי ישראל.,0,,
איתמר בן גביר ... הגבר...,1,,
בן גביר הגבר אל תתייחס לפח אשפה הממורמר הזה הוא מדבר מתוך מצוקה הערב רב הזה,1,,
בן גביר זכיתה ביושר כל מה שאומרים ולא אומרים עליך אוי לנו אם אדם כמוך ישב בכנסת ישראל,1,,
בן גביר זה אח!אבל האח הפסיכופט 😄 זה שאף אחד לא רוצה להתעסק איתו ..אתה גם יודע שהוא עלול לגמור בפנים אבל עדיין אוהב את השיגעון שלו 😂😂,1,,
לך על זה ! הגיע הזמן לטפל בדמות קיצונית בעלת לשון משובשת,0,,
למה לאחד כמו יאיר גולן לא פגעה הקורונה ושלא יצא ממנה העולב הרקוב הזה,1,,
לא צריך להסיר חסינות בקרוב גולן לא יהיה בכנסת כי מרץ לא עובר אחוז החסימה בן גביר כן יהיה בכנסת,0,,
בן גביר אתה גבר גבר.מי יתן ויום אחד תהיה בשלטון תעשה קצת סדר,0,,
יאיר גולן הוא אדם מקולקל ניבזה ומנוול גדול. בן גביר וסמוטריץ ראויים להיות בכנסת יותר ממך חתיכת אפס .,1,,
בן גביר אתה מלך,0,,
בו גביר יותר אמין מהאלוף הזה שאנחנו לא יודעים איך הוא קיבל את הדרגות,0,,
יאיר גולן אתה חלאה פח אשפה גודל 100 מטר מגעיל פני המן הרשע,1,,
תפסיק עים התביעות. מר בן דביר העורך דין אתה יושב עים קונצרטינה של מחסום במסלול וקורע גלגלים .למפלגות הבלופ שמכרו את עם ישראל. ואת דמו במשך שנים. וקראו לכיכרות על שמם ואתה מצטדק וקורא להם לבוא לבית משפט ומי במשפט ?חבריהם שגם מוכרים את העם חדשות לבקרים בגלל מוקדיי הגבינההיחודית להם. למה אתה לא נהנה מהעשיה וההצלחה .הכול טוב יישר כוח ותהנה.,0,,
לא מבין למה לא מגרשים אותו לעזה לאיחוד משפחות .,1,,
יאיר גולן אתה מחבל בארץ ישראל,1,,
"לא מבין,החסינות זה כדי להיות עבריין ברישיון?",1,,
נראה לך הצליל של הביצים שלו רועדות נשמעים עד פה .,1,,
למה שיסיר עוד שבועיים יגמר לו 😂😂😂😂,0,,
"הפוסל במומו פוסל !!יהיר.. יותר טוב תשתוק,כדי שלא תשמע- איך אנחנו מכנים אותך !!יא תולעת..!!",1,,
בן גביר כנס באים אימה שלהם,1,,
לתבוע!,0,,
הוא גיבור בחסות החסינות,0,,
עוד רגע הוא מימלה בלי חסינות הוא הולך למוקטע,0,,
יאיר גולן אם בן גביר מחבל אתה עוקר ישראל בן עמלק,1,,
בי גביר מלך,0,,
עוד שבועיים כבר לא תהיה לו חסינות,0,,
בן גביר גזען אסור לו לשרת ציבור .,1,,
יאיר גולן שקרן עלוב,1,,
הוא פח אשפה מתחבא אחרי החסינות .רק לחשוב שהאיש המסוכן הזה היה סגן הרמטכל,1,,
בן גביררק בכנסת ישראל,0,,
ככה מדבר קצין ?,0,,
אוהב ישראל נהפך למחבל ועוכר ישראל תומך בשונאי ישראל סכנה למדינה,1,,
הוא לא יסיר חסינותבגלל החסינות מרשה לעצמו לפתוח את הפה,0,,
נו בן גביר נראה לך שהוא יוריד את החסינות,0,,
רק בן גביר יעשה סדר בהפקרות שהולכת במדינה שלנו 💪💪,0,,
בן גביר את הקול שלי מקבל הפעם,0,,
כנס בראבו תבע לו את הצורה,0,,
"האיש המיותר הזה בן אלף וחברו לפשע סמוחטיץ, חייבים לשבת בכלא לשארית חייהם העלובים! על הנזקים שגרמו למדינה?",1,,
צודק גרוע ממחבל,1,,
למה הוא עוד בכנסת חייב להעיף את הייצור המתועב,1,,
סגן רמטכל אפס מאופס זבל אנושי,1,,
"לא להאמין שהחרא הזה היה סגן הרמטכ""ל ...בושה",1,,
יאיר גולן יצא מדעתו תלך כפרה על איתמר אוהב את המולדת,0,,
איתמר אני מקווה בעזרת השם שמר.צ לא יעברו אתה יכול לתבוע אותו על מליונים יש לו מספיק שחלב מהמדינה,0,,
תוך חודש יאיר גולן לא בכנסת ישראל מקוה שאתה תיכנס לכנסת ישראל.,0,,
הוא לא יעשה זאת כי רגיל הוא לתפוס מחסה היכן שאפשר,0,,
בן גביר בחור ישר ואמיתי ואי אפשר להגיד עליו מחבל,0,,
תראו מי שמדבר!,1,,
"יהיר גולן פחדן לא נראה לי שיסר את החסינות שלו ראה מקרים בעבר שנדרש ע""מ להוכיח כי אמר דברים אמיתיים ולא עשה כן.",1,,
כל הכבוד לבן גביר רק ככה צריך להתנהג אם השמולאנים,0,,
"בזוי, אוהב את האחר ולא את עמו",0,,
בן גביר המלך רק אתה תציל אותנו מעוכר ישראל כמו יאיר גולן חזק ואמץ,0,,
תמשיך לחלום אם בכלל תעבור את אחוז החסימה,0,,
רק מחל,0,,
אתה ממש ליצן יגיע היום והוא קרוב שתצא מחיינו אתה איש טוב אבל מה לך ולפוליטיקה,0,,
לא יעזור לך כלום מותק ! אתה יודע למה? כי אין כלום ולא היה כלום,0,,
וזה לא משנה איזה פרקליט יהיה,0,,
גן ילדים,0,,
מינוי קבוע לא לשמאלן,0,,
ובעוד ארבעה חודשים. המימד החמישי תועמד לדין זה מה זה שקוף ומה חשבתה שאנחנו מפגרים שהרי כל. התיקים שהחונטה תפרה לבבי מיתפוררים והופה נישארתם רק אתם פרשת הממד החמישי,0,,
לך למדלשפיך תבקש עזרא,0,,
למה כי אתה קנאי מת להפיל את נתניהו תתבייש אין טוב ממנו,0,,
רק ביבי,0,,
גנץ בושה וכלימה אבדת את שארית הכבוד שנותר לך אתה מוגן ממנדבליט העבירות שאתה גנץ עשית מחייבים חקירה שום דבר לא כשר אל. נא. תתפאר שאתה ישר ממש. לא ומה עם כל הרומנים. שלך. עם. ע. ו.ת הכל ידוע התקשורת מגינה עליך,0,,
גנץ תתביש לך,0,,
עלוב אתה חושב שתחמוק מחקירה 50 מיליון ללא מכרז אתה טועה,0,,
זמנך חלף גם החברים שלך לא מאמינים לך לא תעבור את אחוז החסימה שפל,0,,
תתבייש מנוול . בגללך אנחנו בכאוס הזה .,1,,
נישאר לך 12 יום ותעוף לעזזאל,1,,
איזו אכזריות וכמה רוע!!!פופוליסט!!!,0,,
אתה אדם עלוב נפש קנאי אתה לא מגיע לציפורן הקטנה של הרגל שלו כמה שאתה דביל בלתי נסבל גם היום של החקירות שלך מתקרב אתה אדם לא ישר שקרן שפל חלבתה את המדינה בשיפוץ של הבית שלך ב7מליון שח וזה על חשבון הציבור . לחן רק ביבי האחד והיחיד לעוד שנים רבות ואתה וכול החברים שלך תמשיכו רק לסבול נקודה.,1,,
ביבי אין עליךטוב עשיתה,0,,
חולה נפש בגן,1,,
מתוסבך אף אחד מהחברים שהלכו איתו לא מאמינים לו נישרו כמה פליטם מהנבחרת,0,,
נראה בקרוב מי שקוע במישפטים על 4000000 שח במירמה,0,,
"שקרן עלוב . גם אם הוא ימנה את יאיר הבן שלו זה לא ישנה , המשפט כבר יצא לדרך וליועץ אין אפשרות להשפיע . אוטוטו הכל ניגמר כי כל המישפט הזה הוא פארסה וזיוף אבל את הדמגוג העילג שלא עובר את אחוז החסימה זה לא מעניין . ככה זה , כשאין לך מה לומר פשוט תשקר 🤮🤮🤮",1,,
עוד מעט תעלם מהכנסת,0,,
"שינאה שינאה ועוד שינאה יש בשמאל , אבל מדיניות בטחון צבאי או כלכלי אפס , אין לשמאל מה להציע חוץ משנאת חינם , אתם ושכמותכם מקשים על חיי האזרחים בשינאתכם המגעילה",0,,
גנץ מתי לא נראה ונשמע אותך איייפ אתה מביך,0,,
גנץ. כמה אתה מכוער.ממש מסכן.,1,,
אתה עלוב ..מר כישלון..לוזר....איפו המימד החמיש??? ינקלביץ..הנייד שלך ומה שמצאו בו..אוי אתה סמרטוט והאשה שלך שלא נדע מצרות....,1,,
לך לעזאזל,1,,
פקה פקה הביתה,0,,
בקרוב לא תהיו בכנסת.....אתם רק מזיקים לישראל!!!,0,,
גנץ האידיוט המושלם ביבי יעשה מה שטוב למדינה ולביבי,0,,
מי ההידיוטים שמאמינים לך,0,,
"כי כולם מושחתים ,ויש לך אינטרס להאריך את כהונתו כדי שלא יפתח בהליכים נגדך .",0,,
תשתוק כבר,0,,
"תחזיר את שתי המכוניות המשורינות , תחזיר את השבע מליון שקל של שיפוץ הבית , תפטר את מנכל ראש הממשלה במשרד שלך , אחר כך אולי נאמין לך ישראל ליפני הכל 🤮🤮🤮🤮פח אשפה",1,,
מגמגם 0 גמור אף אחד לא רוצה אותך שלום רק ביבי המלך,1,,
מה הבטיח לך מנדלשיט בפרשת המימד החמישי.,0,,
טפש!!!,1,,
מה נשאר לך עוד 13 יום ויאאאאלה הבייתה,0,,
בני גנץ אתה זירו,1,,
מעניין אם במהלך ה 4 חודשים הוא יבדוק את תיק המימד החמישיאו שיתעסק בביבי,0,,
אתה עושה טעות ומטעה את העם נכון לבחירות האלה אתה מסיים אים הפוליטיקה,0,,
כן זה ידוע המימד החמישיעוד מ. 48 הכל שלכם.,0,,
אתה איש לא חכם טיפשות שניגרר אחרי הפרקליטים אין לך עמוד שידרה האבל מושלם,0,,
פקה פקה הביתה,0,,
לך לעזזל. מושחט.תחזיר את ה4 מליון. שגנבת מכספי המדינה. אתה בושה. ולוזר.,1,,
אני מאחלת לו שלא יעבור את אחוז החסימה.,0,,
מנית משהו שישמור עליך בזמן החקירה של מימד החמישי שלך !,1,,
אדם רע ומכפישן לדעתי. הקנאה שורפת. יש לך ללמוד מנתניהו,1,,
לך לעזה אצ ויאיסמן זבל נדבק לזבל כמוך בדיוק נוולה סרוחה לכי לקיבינימט חתיכת זבל עזה עזאזל מחקה לך,1,,
לדעתי זאת הסיבה במדינה וחתירה נגד ממשלת ישראל.. יש לעצור את יאיר לפיד ואהוד ברק ולכלוא אותם מייד.,0,,
לך כבר מיאתנו אתה הבאתה חורבן על המדינה. מהיום הראשון אתה רק שם מקלות בגלגלים ומכשיל את תיפקוד הממשלה. בזיון,0,,
גנץ רק נזקים אתה גורם.אנא די.לא מתאים לפוליטיקה,0,,
לך לישון אולי אתה עייף,0,,
לך לעזאזל נימאסת,1,,
אתה שומר על תיק מימד החמישי זה בסדר,0,,
שפוט של מנדבליט תופס אותך בביצים,1,,
חבל על הזמן שלך,0,,
הטינופת של המדינה,1,,
לא נורא עוד קצת וגם אתה תיגמר,0,,
גנץ מה קורה עם המימד החמישי50.000.000 אתה ואלשךלבחור רק ביבי,0,,
לך תעשה חמוצים,0,,
הזוי קצת בושה לא יזיק לאף אחד,0,,
דחליל,0,,
בפנים שלנו אתה הורס את המדינה,0,,
נוכל בגלל שאתה ואלשיח שקועים עד למעל לצאוור בחרה שלכם שומרים על החונטה הסיציליאנית בורא עולם ישלם לכם במכאובים וייסורים אמן אחד אחד,0,,
"ראו מו שמדבר , הלץ הזה , אני ואני ואני ...לא יעזור לך רק ביבי 🤮",1,,
אידיוט!מגן על המושחתים!אתה גיבור שם שלא יחקרו את המימד החמישי,1,,
בני גץ.. עם ישראל חווה את 10 המכות... אתה המכה האחד עשרה...,0,,
שקרן צבוע נוכל,1,,
ביבי לא אמר בפרהסיה מילה אחת רעה על גנץ ביבי רמה אחרת ..,0,,
"וגם חתם על הארכת אי חקירת המימד החמישי.כל יום שומעים ממך רק הסתה והשמצות ,אולי שנה דיסקט או תפרוש.",0,,
. אידיוט אמרנו מטומטם סגרנו,1,,
כסיל,1,,
לך לך תישן תראה לאי הגנת לתחתית של הבור,0,,
נוכל בן נוכל . חוצפן,1,,
"במעט הזמן שנותר לך,,אתה הורס את המדינה...את הבטחון של חיילי גולני הפקרת השדה הקרב ועכשיו הגעתה להרוס את המדינה ,,תתבייש לך,,, חלאה",0,,
נו מה את מי תמנה את מי שמנדבליט הדיח כממלא מקום בגלל שהתחיל ליבדוק את הקשר שלך עים אלשייך במימד החמישי וה4 מיליון שהעלמתה והחלאה מנדבליט מגוננן עליך,0,,
כל מה שבניתה במשך עשרות שנים הרסתה כל חלקה בישראל לך לך לך לך,0,,
עלוב חלאה אתה מתפוגג מיום ליום אתה מתאדה כמו שהיה צפוי אתה אפס ומקווה שלא תעבור את אחוז החסימה גנב ושקרן מהמימד החמישי,1,,
לך,0,,
אתה איש עלוב ושקרן,1,,
תזכר כאיש הכי מיותר בפוליטיקה הישראלית.אתה הפוליטקאי הכי יקר מאז קום המדינה7 מיליון שיפוץ ביית6 מיליון רכביםבתקופה של כמה חודשים ואת ביבי חוקרים על שמפנייה.,0,,
"גנץ, תפסיק לשמוע לחורשי רעתך. נתניהו בע""ה יבחר והוא ימנה מערכת משפט נקייה וללא נשוא פנים.הבחירה שלך כדי להגן עליך מפרשת המימד החמישי",0,,
סבתא שלך שקועה במשפט שלה אתה שקרן,1,,
"גנץ, אני מתבייש בך, לא רמה, משתמש בשפת הרחוב. מצטייר כלא אמין, מערכת המשפט המסואבת לא תועיל לך, ניפטר ממך כפוליטיקאי, בעוד שבועיים.",1,,
החונק מנדלבליט יוצא לך חזק מהגרון,0,,
מתי היה אמין עם כרמטכ'K,0,,
לא היה אמין כל הדרך זהו מטיבעו גנץ זהו ניגמר לך לא שכחנו צוק איתן והמיימד החמישי,0,,
"ומה עם המימד החמישי??,?,",0,,
"עלוב נפש רק יודע להרוס ולאלבנות , אתה אפס .",1,,
טיפש מטופש,1,,
תשנה דיסק,0,,
מה אתה אומר זבל,1,,
"הבן זונה מבלפור - ימכור את אימא שלו ואישתו לזנות וישכנע את עדת הסוגדים הדבילים שלו, שהן הסחורה הכי טובה והכי טריה בשוק הבשר - רק בשביל להמשיך לגור בבלפור ולנצל את הדביליות של סוגדיו כדי לדפוק אותם ולחרבן עליהם והאהבלים האלה יאכלו את המכות שהוא מפיל עליהם ויבקשו עוד - מזוכיסטים !",1,,
@yalisperber זונה שמנה,1,,
"RT @NirTsadok: הולך עם אשתי, בהריון מתקדם, לרופאה. כשמגיעה המעלית מבקשים מהאשה המבוגרת שמאחורינו לעלות לבד לקומה השמינית ולא לחלוק איתה את…",0,,
אמא שך אתיופית יבן זונה,1,,
@GuyCohenn @NirTsadok מה זה בת אלף? אין דבר כזה באמת. יש זונה. יש בת אלף זונות.,1,,
@odetoseul חכי חכי להאקניון אדיטס בת זונה,1,,
@ninasrealshit שכחתי שאני על אנגלית אבל איזו יפה את זונה,1,,
"@freezer52000 (מדויקות עם י' אחת, חבורה של עמות). התוכן זונה.",1,,
"@aravon1971 @NirTsadok קשה להיות בת של אלף זונות, כי ""אמא יש רק אחת"", ולכן בת אלף, זונה, יותר הגיוני",1,,
@ABKO319 @doko2015 זונה פוליטית כמו ציפורה...,1,,
@NirTsadok בת אלף זונה &gt; בת אלף זונות,1,,
@TWhachfatsa זונה בת אלף מה יש ללכלך,1,,
"@NirTsadok האם היא:
 1. בת אלף, זונה?
 או
 2. את אלף זונות?
 
 אני מתקשה כאן.",1,,
"@aravon1971 לא, היא ספציפית בת אלף זונה",1,,
"הולך עם אשתי, בהריון מתקדם, לרופאה. כשמגיעה המעלית מבקשים מהאשה המבוגרת שמאחורינו לעלות לבד לקומה השמינית ולא לחלוק איתה את החלל, ככתוב בשלט. וההיא? ״זו זכותיייי״ ומתפרצת פנימה, ״תתפוצצו!״, צועקת מבעד לדלת. יצאנו. זכותי? מה זה נשק בטקסס? לכי תזדייני יא בת אלף זונה, יא שרמוטה",1,,
"@nadavboar אמן זבל
 ובאמת מביך הבחור בן 20 בטח שכב עם איזו זונה והתלהב",1,,
@cfcprag יבן זונה,1,,
@netanyahu אתה חתיכת זונה פטישיסטית לשליטה וסלקציות. זבל.,1,,
@CAL4MlTY @NTBUSHC0LVERA @93CAR0LlNA וואי איכס איזו בת זונה,1,,
@hwallbff איך כמו זונה😍😍,1,,
הרצחת וגם ירשת. בן של זונה. https://t.co/DWMelt7tCt,1,,
"שכחת הפועל זונה, הכלב אכל לי את השיעורי בית ושלחתי מייל, הוא פשוט לא הגיע. איזה איש מביך. https://t.co/41ohNsus26",1,,
שאני לא יבוא לחור שאתה גר בו ואעשה אותך ג'אנט לאופנוע יא בן זונה,1,,
המשמעות של החוק היא כזו : העם קצת מטומטם - ולכן לא נוכל לתת לעם לטעות יותר מפעמיים .. יש כאן מועמד לראשות ממשלה שאומר לקבוצה של אנשים תצביעו לי כי האחים שלכם מטומטמים ואי אפשר לסמוך עליהם .. בן זונה.,1,,
@TWhachfatsa זונה,1,,
@kann_news @yaara_shapira נראה את הבן זונה שיתקרב אליי לבית בגלל שלא התחסנתי.,1,,
@Loriiii מה קרה לימים הטובים שהתחפשו לאסתר המלכה שהיא לגמרי לא זונה שסורסרה עבור כוח פוליטי למלך שהוציא להורג את אשתו הקודמת?,1,,
